timestamp,HelloKitty_UwU,crowdpleaser,Silence,Nigatoni,Wowee,4DogsOnAJog,TvrdaBatina,Big Bad Wolf,Pipo,Ender Wiggin,Deonnar,Todd
2026-04-27 10:04,1165501,1165379,1023211,895737,851948,820075,773638,761587,653546,639659,46308,
2026-04-27 11:19,1320985,1299455,1147553,1032818,965234,903424,869539,847579,,717135,67437,653703
2026-04-27 13:47,1759555,1652236,1458848,1280850,1333991,1137415,1138804,1096323,,927533,96139,912456
2026-04-29 01:34,7458980,6253416,5831851,4427728,4990215,4806155,4309376,4194141,3856889,,458896,4131567
2026-04-29 03:27,7613374,6377135,5948019,4503588,5113244,4907867,4383131,4272194,3965884,,479232,4220123
