village_name,coord_x,coord_y,res_wood,res_clay,res_iron,res_crop,applied_template,group,is_capital
08 Angvar's Trove,94,121,4,4,4,6,,Under Construction,
05 Thunderhead Keep,103,116,3,5,4,6,,Hammer,
06 Ebonhawke,101,116,4,4,4,6,Anvil,Anvils,
02 Fort Trinity,101,117,4,4,4,6,,Raid_Scout_etc,
01 Dinivity's Reach,102,117,4,4,4,6,,Cap n Storage,1
03 Rata Sum,102,116,4,4,4,6,,Cap n Storage,
00 Shaemoor,13,70,4,4,4,6,,Feeders,
04 Beetletun,99,111,4,4,4,6,,Feeders,
07 Lowland Shore,104,108,4,4,4,6,,Feeders,
